,0,1
540,17,367
541,17,395
542,17,432
543,18,2
544,18,33
545,18,47
546,18,66
547,18,84
548,18,131
549,18,136
550,18,146
551,18,163
552,18,186
553,18,189
554,18,216
555,18,232
556,18,235
557,18,241
558,18,252
559,18,261
560,18,272
561,18,291
562,18,304
563,18,312
564,18,319
565,18,345
566,18,346
567,18,367
568,18,395
569,19,2
570,19,47
571,19,66
572,19,84
573,19,131
574,19,136
575,19,146
576,19,163
577,19,186
578,19,189
579,19,216
580,19,232
581,19,235
582,19,241
583,19,252
584,19,261
585,19,272
586,19,291
587,19,304
588,19,312
589,19,319
590,19,338
591,19,345
592,19,346
593,19,367
594,19,395
595,20,27
596,20,47
597,20,66
598,20,77
599,20,84
600,20,131
601,20,134
602,20,136
603,20,146
604,20,163
605,20,177
606,20,186
607,20,189
608,20,216
609,20,232
610,20,235
611,20,241
612,20,252
613,20,261
614,20,272
615,20,291
616,20,302
617,20,304
618,20,312
619,20,319
620,20,338
621,20,345
622,20,346
623,20,377
624,20,395
625,20,417
626,21,24
627,21,47
628,21,60
629,21,73
630,21,82
631,21,113
632,21,131
633,21,136
634,21,146
635,21,150
636,21,163
637,21,169
638,21,173
639,21,174
640,21,177
641,21,186
642,21,189
643,21,205
644,21,207
645,21,215
646,21,216
647,21,221
648,21,235
649,21,237
650,21,272
651,21,281
652,21,284
653,21,291
654,21,312
655,21,319
656,21,330
657,21,333
658,21,338
659,21,345
660,21,346
661,21,347
662,21,360
663,21,367
664,21,368
665,21,386
666,21,392
667,21,395
668,21,412
669,21,425
670,22,24
671,22,47
672,22,60
673,22,73
674,22,82
675,22,113
676,22,131
677,22,136
678,22,146
679,22,150
680,22,160
681,22,163
682,22,169
683,22,173
684,22,174
685,22,177
686,22,186
687,22,189
688,22,204
689,22,205
690,22,207
691,22,215
692,22,216
693,22,221
694,22,235
695,22,237
696,22,241
697,22,272
698,22,281
699,22,284
700,22,291
701,22,304
702,22,312
703,22,319
704,22,330
705,22,333
706,22,338
707,22,345
708,22,346
709,22,347
710,22,360
