Jayapal;100;100;nan;WA
Schrier;100;nan;nan;WA
Smith;100;100;100;WA
Heck;100;100;100;WA
McKinley;0;0;16;WV
Mooney;0;0;0;WV
Miller;0;nan;nan;WV
Steil;7;nan;nan;WI
Pocan;100;100;100;WI
Kind;100;100;100;WI
Moore;97;94;100;WI
Sensenbrenner;0;0;0;WI
Grothman;0;0;0;WI
Tiffany;nan;nan;nan;WI
Gallagher;0;0;nan;WI
Cheney;0;0;nan;WY
Radewagen;nan;0;0;AS
Norton;100;100;100;DC
San Nicolas;69;nan;nan;GU
Sablan;69;40;20;MP
González-Colón;9;0;nan;PR
Plaskett;53;50;0;VI
